variable;bin;count;count_distr;good;bad;badprob;woe;bin_iv;total_iv;breaks;is_special_values
testing;[0,20.62);2166;0,05;1518;648;0,032;0,72;2,43;30,9;20,62;False
testing;[20.65,38.34);2167;0,05;804;1363;0,0673;-0,66;2,14;30,9;38,34;False
testing;[38.35,50.45);2167;0,05;648;1519;0,075;-0,98;4,62;30,9;50,45;False
testing;[50.45,61.17);2167;0,05;696;1471;0,0727;-0,88;3,74;30,9;61,17;False
testing;[61.18,71.39);2167;0,05;729;1438;0,071;-0,81;3,2;30,9;71,39;False
testing;[71.4,82.25);2167;0,05;747;1420;0,0701;-0,77;2,93;30,9;82,25;False
testing;[82.25,92.19);2167;0,05;898;1269;0,0627;-0,48;1,14;30,9;92,19;False
testing;[92.2,102.04);2167;0,05;1059;1108;0,0547;-0,18;0,16;30,9;102,04;False
testing;[102.05,111.33);2166;0,05;1098;1068;0,0528;-0,1;0,05;30,9;111,33;False
testing;[111.34,121.62);2168;0,05;1195;973;0,0481;0,07;0,03;30,9;121,62;False
testing;[121.63,132.38);2167;0,05;1196;971;0,048;0,08;0,03;30,9;132,38;False
testing;[132.38,144.06);2167;0,05;1312;855;0,0422;0,3;0,43;30,9;144,06;False
testing;[144.06,156.77);2167;0,05;1283;884;0,0437;0,24;0,29;30,9;156,77;False
testing;[156.77,171.59);2167;0,05;1342;825;0,0408;0,35;0,62;30,9;171,59;False
testing;[171.6,188.24);2167;0,05;1428;739;0,0365;0,53;1,33;30,9;188,24;False
testing;[188.25,206.8);2167;0,05;1438;729;0,036;0,55;1,44;30,9;206,8;False
testing;[206.82,231.57);2167;0,05;1524;643;0,0318;0,73;2,5;30,9;231,57;False
testing;[231.59,268.08);2167;0,05;1469;698;0,0345;0,61;1,78;30,9;268,08;False
testing;[268.1,334.53);2167;0,05;1483;684;0,0338;0,64;1,95;30,9;334,53;False
testing;[334.54,3719.68);2167;0,05;1228;939;0,0464;0,14;0,09;30,9;3719,68;False
